Time,Data,Average,SD

 17:16:06   ,74,0,0
 17:16:07   ,81.31,0,0
 17:16:08   ,81.91,0,0
 17:16:09   ,74.72,0,0
 17:16:10   ,75.67,0,0
 17:16:11   ,71.89,0,0
 17:16:12   ,67.71,0,0
 17:16:13   ,72.88,0,0
 17:16:14   ,69.8,0,0
 17:16:15   ,73.87,0,0
 17:16:16   ,73.46,74.33,4.26
 17:16:17   ,70.32,74.01,4.42
 17:16:18   ,74.99,73.69,3.59
 17:16:19   ,81.06,73.14,3.5
 17:16:20   ,77.88,72.85,2.87
 17:16:21   ,70.25,72.62,3.5
 17:16:22   ,63.79,72.58,4.71
 17:16:23   ,62.77,72.73,4.72
 17:16:24   ,63.38,71.88,5.32
 17:16:25   ,68.46,71.68,5.49
 17:16:26   ,62.98,70.09,6.37
 17:16:27   ,59.77,69.27,6.68
 17:16:28   ,60.96,68.65,6.78
 17:16:29   ,62.02,67.24,6.8
 17:16:30   ,56.6,64.68,5.76
 17:16:31   ,54.12,62.85,4.21
 17:16:32   ,52.94,61.37,4.02
 17:16:33   ,49.24,60.03,5.16
 17:16:34   ,46.72,58.8,5.96
 17:16:35   ,48.27,57.54,6.12
 17:16:36   ,47.85,55.32,5.75
